,earnings_links
0,https://www.fool.com/earnings/call-transcripts/2019/12/04/rex-american-resources-corp-rex-q3-2019-earnings-c.aspx
1,https://www.fool.com/earnings/call-transcripts/2019/11/21/macys-inc-m-q3-2019-earnings-call-transcript.aspx
2,https://www.fool.com/earnings/call-transcripts/2019/11/13/quaker-chemical-corp-kwr-q3-2019-earnings-call-tra.aspx
3,https://www.fool.com/earnings/call-transcripts/2020/02/05/eplus-inc-plus-q3-2020-earnings-call-transcript.aspx
4,https://www.fool.com/earnings/call-transcripts/2020/01/28/united-technologies-corp-utx-q4-2019-earnings-call.aspx
5,https://www.fool.com/earnings/call-transcripts/2020/02/13/godaddy-inc-gddy-q4-2019-earnings-call-transcript.aspx
6,https://www.fool.com/earnings/call-transcripts/2020/01/29/ingersoll-rand-plc-ir-q4-2019-earnings-call-transc.aspx
7,https://www.fool.com/earnings/call-transcripts/2020/02/07/domtar-corp-ufs-q4-2019-earnings-call-transcript.aspx
8,https://www.fool.com/earnings/call-transcripts/2020/02/05/nvent-electric-plc-nvt-q4-2019-earnings-call-trans.aspx
9,https://www.fool.com/earnings/call-transcripts/2019/12/18/paychex-inc-payx-q2-2020-earnings-call-transcript.aspx
10,https://www.fool.com/earnings/call-transcripts/2020/02/07/activision-blizzard-inc-atvi-q4-2019-earnings-call.aspx
11,https://www.fool.com/earnings/call-transcripts/2019/12/05/slack-technologies-work-q3-2020-earnings-call-tran.aspx
12,https://www.fool.com/earnings/call-transcripts/2020/01/31/world-acceptance-wrld-q3-2020-earnings-call-transc.aspx
13,https://www.fool.com/earnings/call-transcripts/2019/11/12/central-puerto-sa-cepu-q3-2019-earnings-call-trans.aspx
14,https://www.fool.com/earnings/call-transcripts/2020/02/07/telenav-tnav-q2-2020-earnings-call-transcript.aspx
15,https://www.fool.com/earnings/call-transcripts/2020/02/12/caesarstone-ltd-cste-q4-2019-earnings-call-transcr.aspx
16,https://www.fool.com/earnings/call-transcripts/2020/02/06/oaktree-specialty-lending-corporation-ocsl-q1-2020.aspx
17,https://www.fool.com/earnings/call-transcripts/2020/01/30/dover-corp-dov-q4-2019-earnings-call-transcript.aspx
18,https://www.fool.com/earnings/call-transcripts/2020/02/07/carlisle-cos-inc-csl-q4-2019-earnings-call-transcr.aspx
19,https://www.fool.com/earnings/call-transcripts/2020/01/30/corteva-inc-ctva-q4-2019-earnings-call-transcript.aspx
20,https://www.fool.com/earnings/call-transcripts/2020/02/07/arcelormittal-ny-registered-shs-mt-q4-2019-earning.aspx
21,https://www.fool.com/earnings/call-transcripts/2020/02/06/suncor-energy-inc-su-q4-2019-earnings-call-transcr.aspx
22,https://www.fool.com/earnings/call-transcripts/2020/02/04/centene-corp-cnc-q4-2019-earnings-call-transcript.aspx
23,https://www.fool.com/earnings/call-transcripts/2020/01/29/corning-inc-glw-q4-2019-earnings-call-transcript.aspx
24,https://www.fool.com/earnings/call-transcripts/2020/02/14/american-international-group-aig-q4-2019-earnings.aspx
25,https://www.fool.com/earnings/call-transcripts/2019/12/06/cooper-companies-inc-coo-q4-2019-earnings-call-tra.aspx
26,https://www.fool.com/earnings/call-transcripts/2020/02/07/coresite-realty-corp-cor-q4-2019-earnings-call-tra.aspx
27,https://www.fool.com/earnings/call-transcripts/2019/12/10/liquidity-services-inc-lqdt-q4-2019-earnings-call.aspx
28,https://www.fool.com/earnings/call-transcripts/2019/11/27/adecoagro-sa-agro-q3-2019-earnings-call-transcript.aspx
29,https://www.fool.com/earnings/call-transcripts/2020/01/23/huntington-bancshares-incorporated-hban-q4-2019-ea.aspx
30,https://www.fool.com/earnings/call-transcripts/2020/02/11/criteo-sa-crto-q4-2019-earnings-call-transcript.aspx
31,https://www.fool.com/earnings/call-transcripts/2020/02/05/qualcomm-inc-qcom-q1-2020-earnings-call-transcript.aspx
32,https://www.fool.com/earnings/call-transcripts/2020/02/05/markel-corp-mkl-q4-2019-earnings-call-transcript.aspx
33,https://www.fool.com/earnings/call-transcripts/2020/01/28/flagstar-bancorp-inc-fbc-q4-2019-earnings-call-tra.aspx
34,https://www.fool.com/earnings/call-transcripts/2019/12/18/general-mills-inc-gis-q2-2020-earnings-call-transc.aspx
