,urls
0,https://www.fool.com/earnings/call-transcripts/2019/12/04/rex-american-resources-corp-rex-q3-2019-earnings-c.aspx
1,https://www.fool.com/earnings/call-transcripts/2019/11/21/macys-inc-m-q3-2019-earnings-call-transcript.aspx
2,https://www.fool.com/the-ascent/credit-cards/articles/5-reasons-your-credit-cards-apr-could-change/
3,https://www.fool.com/earnings/call-transcripts/2019/11/13/quaker-chemical-corp-kwr-q3-2019-earnings-call-tra.aspx
4,https://www.fool.com/the-ascent/buying-stocks/articles/online-vs-traditional-brokerage-which-is-right-for-you/
5,https://www.fool.com/earnings/call-transcripts/2020/02/05/eplus-inc-plus-q3-2020-earnings-call-transcript.aspx
6,https://www.fool.com/earnings/call-transcripts/2020/01/28/united-technologies-corp-utx-q4-2019-earnings-call.aspx
7,https://www.fool.com/earnings/call-transcripts/2020/02/13/godaddy-inc-gddy-q4-2019-earnings-call-transcript.aspx
8,https://www.fool.com/the-ascent/buying-stocks/articles/what-is-a-brokerage-account/
9,https://www.fool.com/the-ascent/student-loans/articles/are-parent-plus-loans-a-good-idea/
10,https://www.fool.com/earnings/call-transcripts/2020/01/29/ingersoll-rand-plc-ir-q4-2019-earnings-call-transc.aspx
11,https://www.fool.com/earnings/call-transcripts/2020/02/07/domtar-corp-ufs-q4-2019-earnings-call-transcript.aspx
12,https://www.fool.com/knowledge-center/cash-flow-statement.aspx
13,https://www.fool.com/earnings/call-transcripts/2020/02/05/nvent-electric-plc-nvt-q4-2019-earnings-call-trans.aspx
14,https://www.fool.com/investing/2019/10/29/the-boring-but-best-way-to-start-investing-with-10.aspx
15,https://www.fool.com/earnings/call-transcripts/2019/12/18/paychex-inc-payx-q2-2020-earnings-call-transcript.aspx
16,https://www.fool.com/earnings/call-transcripts/2020/02/07/activision-blizzard-inc-atvi-q4-2019-earnings-call.aspx
17,https://www.fool.com/earnings/call-transcripts/2019/12/05/slack-technologies-work-q3-2020-earnings-call-tran.aspx
18,https://www.fool.com/podcasts/
19,https://www.fool.com/earnings/call-transcripts/2020/01/31/world-acceptance-wrld-q3-2020-earnings-call-transc.aspx
20,https://www.fool.com/earnings/call-transcripts/2019/11/12/central-puerto-sa-cepu-q3-2019-earnings-call-trans.aspx
21,https://www.fool.com/earnings/call-transcripts/2020/02/07/telenav-tnav-q2-2020-earnings-call-transcript.aspx
22,https://www.fool.com/earnings/call-transcripts/2020/02/12/caesarstone-ltd-cste-q4-2019-earnings-call-transcr.aspx
23,https://www.fool.com/investing/2020/02/17/will-this-marijuana-stock-soar-again-following-the.aspx
24,https://www.fool.com/earnings/call-transcripts/2020/02/06/oaktree-specialty-lending-corporation-ocsl-q1-2020.aspx
25,https://www.fool.com/earnings/call-transcripts/2020/01/30/dover-corp-dov-q4-2019-earnings-call-transcript.aspx
26,https://www.fool.com/earnings/call-transcripts/2020/02/07/carlisle-cos-inc-csl-q4-2019-earnings-call-transcr.aspx
27,https://www.fool.com/earnings/call-transcripts/2020/01/30/corteva-inc-ctva-q4-2019-earnings-call-transcript.aspx
28,https://www.fool.com/earnings/call-transcripts/2020/02/07/arcelormittal-ny-registered-shs-mt-q4-2019-earning.aspx
29,https://www.fool.com/earnings/call-transcripts/2020/02/06/suncor-energy-inc-su-q4-2019-earnings-call-transcr.aspx
30,https://www.fool.com/earnings/call-transcripts/2020/02/04/centene-corp-cnc-q4-2019-earnings-call-transcript.aspx
31,https://www.fool.com/earnings/call-transcripts/2020/01/29/corning-inc-glw-q4-2019-earnings-call-transcript.aspx
32,https://www.fool.com/earnings/call-transcripts/2020/02/14/american-international-group-aig-q4-2019-earnings.aspx
33,https://www.fool.com/earnings/call-transcripts/2019/12/06/cooper-companies-inc-coo-q4-2019-earnings-call-tra.aspx
34,https://www.fool.com/earnings/call-transcripts/2020/02/07/coresite-realty-corp-cor-q4-2019-earnings-call-tra.aspx
35,https://www.fool.com/author/1494/
36,https://www.fool.com/earnings/call-transcripts/2019/12/10/liquidity-services-inc-lqdt-q4-2019-earnings-call.aspx
37,https://www.fool.com/earnings/call-transcripts/2019/11/27/adecoagro-sa-agro-q3-2019-earnings-call-transcript.aspx
